"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"Infernal Affairs","https://www.imdb.com/title/tt0338564/?ref_=adv_li_tt","$0.17M","Crime, Drama, Mystery","75 Metascore","8.1"
"Kill Bill: Vol. 1","https://www.imdb.com/title/tt0266697/?ref_=adv_li_tt","$70.10M","Action, Crime, Thriller","69 Metascore","8.1"
"Finding Nemo","https://www.imdb.com/title/tt0266543/?ref_=adv_li_tt","$380.84M","Animation, Adventure, Comedy","90 Metascore","8.1"
"Catch Me If You Can","https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt","$164.62M","Biography, Crime, Drama","75 Metascore","8.1"
"Amores Perros","https://www.imdb.com/title/tt0245712/?ref_=adv_li_tt","$5.38M","Drama, Thriller","83 Metascore","8.1"
"Lagaan: Once Upon a Time in India","https://www.imdb.com/title/tt0169102/?ref_=adv_li_tt","$0.07M","Adventure, Drama, Musical","84 Metascore","8.1"
"The Sixth Sense","https://www.imdb.com/title/tt0167404/?ref_=adv_li_tt","$293.51M","Drama, Mystery, Thriller","64 Metascore","8.1"
"The Truman Show","https://www.imdb.com/title/tt0120382/?ref_=adv_li_tt","$125.62M","Comedy, Drama, Sci-Fi","90 Metascore","8.1"
"The Big Lebowski","https://www.imdb.com/title/tt0118715/?ref_=adv_li_tt","$17.50M","Comedy, Crime","71 Metascore","8.1"
"In the Mood for Love","https://www.imdb.com/title/tt0118694/?ref_=adv_li_tt","$2.73M","Drama, Romance","85 Metascore","8.1"
"Trainspotting","https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt","$16.50M","Drama","83 Metascore","8.1"
"Fargo","https://www.imdb.com/title/tt0116282/?ref_=adv_li_tt","$24.61M","Crime, Drama, Thriller","85 Metascore","8.1"
"La Haine","https://www.imdb.com/title/tt0113247/?ref_=adv_li_tt","$0.31M","Crime, Drama","","8.1"
"Before Sunrise","https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt","$5.54M","Drama, Romance","77 Metascore","8.1"
"Jurassic Park","https://www.imdb.com/title/tt0107290/?ref_=adv_li_tt","$402.45M","Action, Adventure, Sci-Fi","68 Metascore","8.1"
"In the Name of the Father","https://www.imdb.com/title/tt0107207/?ref_=adv_li_tt","$25.01M","Biography, Drama","84 Metascore","8.1"
"Dead Poets Society","https://www.imdb.com/title/tt0097165/?ref_=adv_li_tt","$95.86M","Comedy, Drama","79 Metascore","8.1"
"Akira","https://www.imdb.com/title/tt0094625/?ref_=adv_li_tt","$0.55M","Animation, Drama, Sci-Fi","","8.1"
"The Princess Bride","https://www.imdb.com/title/tt0093779/?ref_=adv_li_tt","$30.86M","Adventure, Family, Fantasy","77 Metascore","8.1"
"Stand by Me","https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt","$52.29M","Adventure, Drama","75 Metascore","8.1"
"Platoon","https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt","$138.53M","Drama, War","92 Metascore","8.1"
"Paris, Texas","https://www.imdb.com/title/tt0087884/?ref_=adv_li_tt","$2.18M","Drama","78 Metascore","8.1"
"Nausicaä of the Valley of the Wind","https://www.imdb.com/title/tt0087544/?ref_=adv_li_tt","$0.50M","Animation, Adventure, Fantasy","86 Metascore","8.1"
"The Thing","https://www.imdb.com/title/tt0084787/?ref_=adv_li_tt","$13.78M","Horror, Mystery, Sci-Fi","57 Metascore","8.1"
"Blade Runner","https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt","$32.87M","Action, Sci-Fi, Thriller","89 Metascore","8.1"
"The Elephant Man","https://www.imdb.com/title/tt0080678/?ref_=adv_li_tt","","Biography, Drama","77 Metascore","8.1"
"Monty Python's Life of Brian","https://www.imdb.com/title/tt0079470/?ref_=adv_li_tt","$20.05M","Comedy","77 Metascore","8.1"
"The Deer Hunter","https://www.imdb.com/title/tt0077416/?ref_=adv_li_tt","$48.98M","Drama, War","86 Metascore","8.1"
"Rocky","https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt","$117.24M","Drama, Sport","70 Metascore","8.1"
"Network","https://www.imdb.com/title/tt0074958/?ref_=adv_li_tt","","Drama","83 Metascore","8.1"
"Barry Lyndon","https://www.imdb.com/title/tt0072684/?ref_=adv_li_tt","","Adventure, Drama, History","89 Metascore","8.1"
"Cool Hand Luke","https://www.imdb.com/title/tt0061512/?ref_=adv_li_tt","","Crime, Drama","91 Metascore","8.1"
"Persona","https://www.imdb.com/title/tt0060827/?ref_=adv_li_tt","","Drama, Thriller","86 Metascore","8.1"
"The Battle of Algiers","https://www.imdb.com/title/tt0058946/?ref_=adv_li_tt","$0.06M","Drama, War","95 Metascore","8.1"
"The 400 Blows","https://www.imdb.com/title/tt0053198/?ref_=adv_li_tt","","Crime, Drama","","8.1"
"Ben-Hur","https://www.imdb.com/title/tt0052618/?ref_=adv_li_tt","$74.70M","Adventure, Drama, History","90 Metascore","8.1"
"The Bridge on the River Kwai","https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt","$44.91M","Adventure, Drama, War","87 Metascore","8.1"
"On the Waterfront","https://www.imdb.com/title/tt0047296/?ref_=adv_li_tt","$9.60M","Crime, Drama, Thriller","91 Metascore","8.1"
"The Wages of Fear","https://www.imdb.com/title/tt0046268/?ref_=adv_li_tt","","Adventure, Drama, Thriller","","8.1"
"The Third Man","https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt","$0.45M","Film-Noir, Mystery, Thriller","97 Metascore","8.1"
"Rebecca","https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt","$4.36M","Drama, Mystery, Romance","","8.1"
"Mr. Smith Goes to Washington","https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt","$9.60M","Comedy, Drama","73 Metascore","8.1"
"Gone with the Wind","https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt","$198.68M","Drama, History, Romance","97 Metascore","8.1"
"It Happened One Night","https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt","$4.36M","Comedy, Romance","87 Metascore","8.1"
"The General","https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt","","Action, Adventure, Comedy","","8.1"
"Guardians of the Galaxy","https://www.imdb.com/title/tt2015381/?ref_=adv_li_tt","$333.18M","Action, Adventure, Comedy","76 Metascore","8.0"
"Before Sunset","https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt","$5.82M","Drama, Romance","90 Metascore","8.0"
"Monsters, Inc.","https://www.imdb.com/title/tt0198781/?ref_=adv_li_tt","$289.92M","Animation, Adventure, Comedy","78 Metascore","8.0"
"Aladdin","https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt","$217.35M","Animation, Adventure, Comedy","86 Metascore","8.0"
"The Terminator","https://www.imdb.com/title/tt0088247/?ref_=adv_li_tt","$38.40M","Action, Sci-Fi","84 Metascore","8.0"
"Butch Cassidy and the Sundance Kid","https://www.imdb.com/title/tt0064115/?ref_=adv_li_tt","$102.31M","Biography, Crime, Drama","66 Metascore","8.0"
