"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"Terminator 2: Judgment Day","https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt","$204.84M","Action, Sci-Fi","75 Metascore","8.5"
"Cinema Paradiso","https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt","$11.99M","Drama","80 Metascore","8.5"
"Grave of the Fireflies","https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt","","Animation, Drama, War","","8.5"
"Back to the Future","https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt","$210.61M","Adventure, Comedy, Sci-Fi","87 Metascore","8.5"
"Once Upon a Time in the West","https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt","$5.32M","Western","80 Metascore","8.5"
"Psycho","https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt","$32.00M","Horror, Mystery, Thriller","97 Metascore","8.5"
"Rear Window","https://www.imdb.com/title/tt0047396/?ref_=adv_li_tt","$36.76M","Mystery, Thriller","100 Metascore","8.5"
"Casablanca","https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt","$1.02M","Drama, Romance, War","100 Metascore","8.5"
"The Great Dictator","https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt","","Comedy, Drama, War","","8.5"
"Modern Times","https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt","$0.16M","Comedy, Drama, Family","96 Metascore","8.5"
"City Lights","https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt","$0.02M","Comedy, Drama, Romance","99 Metascore","8.5"
"Capernaum","https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt","$1.66M","Drama","75 Metascore","8.4"
"Andhadhun","https://www.imdb.com/title/tt8108198/?ref_=adv_li_tt","$1.19M","Crime, Thriller","","8.4"
"Your Name.","https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt","$5.02M","Animation, Drama, Fantasy","79 Metascore","8.4"
"Dangal","https://www.imdb.com/title/tt5074352/?ref_=adv_li_tt","$12.39M","Action, Biography, Drama","","8.4"
"Spider-Man: Into the Spider-Verse","https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt","$190.24M","Animation, Action, Adventure","87 Metascore","8.4"
"Coco","https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt","$209.73M","Animation, Adventure, Family","81 Metascore","8.4"
"Django Unchained","https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt","$162.81M","Drama, Western","81 Metascore","8.4"
"The Dark Knight Rises","https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt","$448.14M","Action, Thriller","78 Metascore","8.4"
"3 Idiots","https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt","$6.53M","Comedy, Drama","67 Metascore","8.4"
"Like Stars on Earth","https://www.imdb.com/title/tt0986264/?ref_=adv_li_tt","$1.22M","Drama, Family","","8.4"
"WALL·E","https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt","$223.81M","Animation, Adventure, Family","95 Metascore","8.4"
"The Lives of Others","https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt","$11.29M","Drama, Thriller","89 Metascore","8.4"
"Oldboy","https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt","$0.71M","Action, Drama, Mystery","77 Metascore","8.4"
"Memento","https://www.imdb.com/title/tt0209144/?ref_=adv_li_tt","$25.54M","Mystery, Thriller","80 Metascore","8.4"
"Princess Mononoke","https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt","$2.38M","Animation, Adventure, Fantasy","76 Metascore","8.4"
"Aliens","https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt","$85.16M","Action, Adventure, Sci-Fi","84 Metascore","8.4"
"Once Upon a Time in America","https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt","$5.32M","Crime, Drama","","8.4"
"Raiders of the Lost Ark","https://www.imdb.com/title/tt0082971/?ref_=adv_li_tt","$248.16M","Action, Adventure","85 Metascore","8.4"
"The Shining","https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt","$44.02M","Drama, Horror","66 Metascore","8.4"
"Apocalypse Now","https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt","$83.47M","Drama, Mystery, War","94 Metascore","8.4"
"Alien","https://www.imdb.com/title/tt0078748/?ref_=adv_li_tt","$78.90M","Horror, Sci-Fi","89 Metascore","8.4"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt","$0.28M","Comedy","97 Metascore","8.4"
"Witness for the Prosecution","https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt","$8.18M","Crime, Drama, Film-Noir","","8.4"
"Paths of Glory","https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt","","Drama, War","","8.4"
"Sunset Blvd.","https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt","","Drama, Film-Noir","","8.4"
"Drishyam","https://www.imdb.com/title/tt4430212/?ref_=adv_li_tt","$0.74M","Crime, Drama, Mystery","","8.3"
"The Hunt","https://www.imdb.com/title/tt2106476/?ref_=adv_li_tt","$0.69M","Drama","77 Metascore","8.3"
"A Separation","https://www.imdb.com/title/tt1832382/?ref_=adv_li_tt","$7.10M","Drama, Thriller","95 Metascore","8.3"
"Incendies","https://www.imdb.com/title/tt1255953/?ref_=adv_li_tt","$6.86M","Drama, Mystery, War","80 Metascore","8.3"
"My Father and My Son","https://www.imdb.com/title/tt0476735/?ref_=adv_li_tt","","Drama, Family","","8.3"
"Toy Story 3","https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt","$415.00M","Animation, Adventure, Comedy","92 Metascore","8.3"
"Inglourious Basterds","https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt","$120.54M","Adventure, Drama, War","69 Metascore","8.3"
"Eternal Sunshine of the Spotless Mind","https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt","$34.40M","Drama, Romance, Sci-Fi","89 Metascore","8.3"
"Amélie","https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt","$33.23M","Comedy, Romance","69 Metascore","8.3"
"Snatch","https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt","$30.33M","Comedy, Crime","55 Metascore","8.3"
"Requiem for a Dream","https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt","$3.64M","Drama","68 Metascore","8.3"
"American Beauty","https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt","$130.10M","Drama","86 Metascore","8.3"
"Good Will Hunting","https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt","$138.43M","Drama, Romance","70 Metascore","8.3"
"Children of Heaven","https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt","$0.93M","Drama, Family","","8.3"
"The Bandit","https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt","","Crime, Drama, Thriller","","8.3"
"Toy Story","https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt","$191.80M","Animation, Adventure, Comedy","95 Metascore","8.3"
"Braveheart","https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt","$75.60M","Biography, Drama, History","68 Metascore","8.3"
"Reservoir Dogs","https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt","$2.83M","Crime, Drama, Thriller","79 Metascore","8.3"
"Full Metal Jacket","https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt","$46.36M","Drama, War","76 Metascore","8.3"
"Come and See","https://www.imdb.com/title/tt0091251/?ref_=adv_li_tt","","Drama, War","","8.3"
"Amadeus","https://www.imdb.com/title/tt0086879/?ref_=adv_li_tt","$51.97M","Biography, Drama, History","88 Metascore","8.3"
"Scarface","https://www.imdb.com/title/tt0086250/?ref_=adv_li_tt","$45.60M","Crime, Drama","65 Metascore","8.3"
"Star Wars: Episode VI - Return of the Jedi","https://www.imdb.com/title/tt0086190/?ref_=adv_li_tt","$309.13M","Action, Adventure, Fantasy","58 Metascore","8.3"
"Das Boot","https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt","$11.49M","Adventure, Drama, Thriller","86 Metascore","8.3"
"Taxi Driver","https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt","$28.26M","Crime, Drama","94 Metascore","8.3"
"The Sting","https://www.imdb.com/title/tt0070735/?ref_=adv_li_tt","$159.60M","Comedy, Crime, Drama","83 Metascore","8.3"
"A Clockwork Orange","https://www.imdb.com/title/tt0066921/?ref_=adv_li_tt","","Crime, Drama, Sci-Fi","80 Metascore","8.3"
"2001: A Space Odyssey","https://www.imdb.com/title/tt0062622/?ref_=adv_li_tt","$56.95M","Adventure, Sci-Fi","82 Metascore","8.3"
"For a Few Dollars More","https://www.imdb.com/title/tt0059578/?ref_=adv_li_tt","$15.00M","Western","74 Metascore","8.3"
"To Kill a Mockingbird","https://www.imdb.com/title/tt0056592/?ref_=adv_li_tt","","Crime, Drama","88 Metascore","8.3"
"Lawrence of Arabia","https://www.imdb.com/title/tt0056172/?ref_=adv_li_tt","$44.82M","Adventure, Biography, Drama","100 Metascore","8.3"
"The Apartment","https://www.imdb.com/title/tt0053604/?ref_=adv_li_tt","$18.60M","Comedy, Drama, Romance","94 Metascore","8.3"
"North by Northwest","https://www.imdb.com/title/tt0053125/?ref_=adv_li_tt","$13.28M","Adventure, Mystery, Thriller","98 Metascore","8.3"
"Vertigo","https://www.imdb.com/title/tt0052357/?ref_=adv_li_tt","$3.20M","Mystery, Romance, Thriller","100 Metascore","8.3"
"Singin' in the Rain","https://www.imdb.com/title/tt0045152/?ref_=adv_li_tt","$8.82M","Comedy, Musical, Romance","99 Metascore","8.3"
"Ikiru","https://www.imdb.com/title/tt0044741/?ref_=adv_li_tt","$0.06M","Drama","","8.3"
"Bicycle Thieves","https://www.imdb.com/title/tt0040522/?ref_=adv_li_tt","$0.33M","Drama","","8.3"
